Industry_Type,Year,Energy_Consumption_MWh,Fuel_Consumption_Tons,Production_Output_Tons,Renewable_Energy_Percentage,Operating_Hours,Emission_Control_Index,Carbon_Emissions_tCO2
Textile,2023,4063.05,2697.46,36738.93,14.74,4843,3.23,6785.58
Automobile,2022,13205.69,7070.01,83259.4,17.68,1434,5.85,20087.38
Cement,2010,35838.1,1854.22,96327.64,10.96,4598,3.62,19333.63
Cement,2020,24260.92,4696.28,93573.68,37.46,4549,2.32,19472.43
Steel,2011,20418.48,298.34,17149.71,17.64,4771,9.95,7945.06
Cement,2004,7997.15,1495.7,2404.84,9.49,7681,9.1,5417.66
Chemical,2022,22371.53,6820.58,44408.37,54.35,1534,6.72,22092.06
Cement,2008,38649.25,7499.87,73159.49,41.7,1380,9.02,31141.48
Textile,2024,13568.64,1241.66,97768.07,14.76,3150,9.42,7116.74
Textile,2008,767.23,2354.32,78558.81,21.66,5124,7.08,3808.76
Paper,2021,33590.99,1079.15,58474.38,44.45,4925,5.67,15031.68
Textile,2009,48645.02,4390.79,3608.94,47.45,6602,8.94,28579.2
Paper,2021,30537.91,1348.55,82728.53,10.59,4128,6.11,15552.07
Textile,2018,6436.13,4429.23,18537.36,56.19,6167,2.14,10136.16
Chemical,2000,16376.29,7347.77,6505.04,47.12,6486,4.3,21133.62
Paper,2006,43448.26,6865.55,85185.53,51.41,5049,5.01,31998.33
Power,2003,12012.12,2876.56,57058.84,8.63,1546,9.42,10258.29
Automobile,2000,30580.95,6770.25,13726.61,8.6,4616,6.93,27480.38
Steel,2014,20432.22,9284.35,39267.72,18.32,5422,8.88,27821.67
Textile,2007,10788.26,3540.49,9468.63,3.88,7409,7.82,11550.2
Cement,2011,40763.64,3358.28,64163.07,5.46,2751,3.79,25058.65
Textile,2021,37270.15,5757.24,28960.3,8.59,5824,7.47,28197.5
Cement,2021,33248.76,2530.47,86743.32,42.75,4115,2.76,18487.78
Automobile,2017,12198.66,6550.63,36421.81,1.81,1218,4.67,19267.98
Automobile,2014,5343.92,8339.39,49968.75,4.99,1125,8.25,19561.82
Automobile,2016,29019.89,4647.25,7288.82,56.65,5977,6.51,20235.7
Cement,2013,27907.05,6827.12,28283.67,5.02,6498,8.43,26365.44
Textile,2013,9825.06,6553.67,67999.96,32.25,5414,3.29,17154.55
Automobile,2017,3284.21,482.79,73890.01,38.55,2328,7.75,68.03
Chemical,2019,4495.07,1915.82,25039.36,57.52,2223,2.82,3598.39
Paper,2017,49642.16,8945.95,50878.19,53.99,5180,5.91,39151.26
Cement,2015,39287.4,9395.03,81935.58,26.44,6160,4.9,36702.8
Cement,2000,46138.38,7826.35,38611.11,56.53,3770,6.01,34997.84
Textile,2022,10155.21,9220.36,14243.36,25.94,2574,2.22,23550.64
Cement,2010,48048.14,3130.87,43755.17,40.2,6482,4.25,26391.58
Cement,2014,7561.39,2552.34,60462.24,15.58,2942,7,7554.57
Automobile,2011,25699.55,3904.57,1732.45,38.2,4340,6.03,17903.25
Textile,2007,41569.94,647.89,35508.18,32.29,5457,5.94,18127.43
Automobile,2021,17815.27,8117.73,61136.15,36.41,3414,5.6,23747.48
Paper,2019,21529.01,9843.34,95239.28,40.96,6300,9.49,28566.2
Paper,2005,6845.16,8257.89,41446.32,10.41,2254,9.41,19702.08
Automobile,2002,6584.63,5594.26,17134.25,18.08,1987,4.24,14038.46
Paper,2023,31168.63,3023.29,53887.69,44.17,2848,4.17,18409.92
Textile,2012,33938.85,2057.21,29289.48,9.83,7731,5.99,18686.34
Steel,2012,38977.96,3704.22,22263.16,20.65,7632,1.86,24640.17
Automobile,2001,28055.76,6703,59449.92,39.99,6353,3.73,25324.49
Chemical,2004,32465.08,4525.91,91672.47,56.26,4901,3.08,21946.29
Chemical,2016,1169.1,9347.19,83687.2,4.52,6548,3.01,20547.91
Cement,2005,8527.45,8556.78,19046.96,30.99,5926,6.75,20612.67
Paper,2001,49253.28,1113.77,76822.07,4.91,4719,4.46,23882.67
Chemical,2003,4261.68,1402.1,23756.99,22.75,7809,2.54,3787.58
Cement,2021,34100.02,6794.77,29779.42,10.52,2317,8.99,28793.9
Steel,2010,9216.09,2384.61,92085.1,38.97,2371,8.87,6770.18
Textile,2007,35977.57,7931.2,91193.96,45.47,5971,8.76,30768.55
Textile,2011,35446.52,5954.45,17694.45,14.84,1360,4.52,27914.72
Textile,2007,12092.85,2375.32,7354.99,42.77,6994,1.51,8775.49
Chemical,2010,13846.9,4839,30018.69,26.81,1357,1.96,15569.3
Steel,2021,32911.15,4120.16,58595.73,17.01,4201,3.48,22776.37
Chemical,2019,19809.26,8744.28,87812.28,31.4,6502,2.98,26537.98
Paper,2007,10130.12,418.41,12764.9,22.78,4890,8.87,3503.46
Chemical,2007,36718.14,8968.85,42080.89,13.8,3783,9.88,34517.03
Steel,2016,8130.3,6555.62,27903.23,45.41,1063,8.35,15262.6
Steel,2019,42854.36,7401.63,2477.97,47.85,6515,7.57,32745.65
Paper,2019,25976.14,125.81,79056.18,48.02,3228,6.3,9289.24
Steel,2022,5732.18,6319.57,81515.14,22.93,3634,7.93,14613.73
Steel,2015,34856.58,5926.01,22901.68,10.17,4849,9.52,27173.48
Textile,2013,26198.57,5418.34,15972.78,50.42,7332,6.41,20923.7
Paper,2010,15253.85,7880.08,15311.52,19.76,4938,2.39,23123.21
Power,2006,21415.7,5603.12,46930.77,44.88,2515,2.47,19872.33
Power,2015,15267.72,8585.26,25403.06,49.05,1579,6.25,23046.05
Steel,2012,13519.78,2403.05,51624.21,46.09,7313,4,9047.01
Power,2014,8598.62,8079.23,39100.32,23.39,5417,9.19,19605.29
Power,2023,18456.97,1875.2,21878.14,56.28,6291,6.5,9399.88
Steel,2015,12923.87,8149.87,75367.99,39.61,3331,7.09,21310.26
Power,2020,34330.01,9410.59,15886.03,34.54,3413,1.05,34644.2
Chemical,2022,34351.9,3423.37,80091.33,41.87,3158,5.49,20656.17
Cement,2023,25341.09,5345.87,56583.19,2.68,3125,4.88,22471.6
Paper,2008,39008.25,6617.46,83371.68,23.43,4769,7.35,30292.92
Cement,2002,42146.32,886.77,1471.14,52.87,7396,4.44,18269.14
Steel,2018,29198.44,4991.4,75169.66,9.66,3283,9.79,22559.18
Textile,2019,31137.29,3669.79,6100.04,24.86,7236,7.03,20247.32
Paper,2004,14502.85,8737.31,95059.77,24.31,4766,6.94,23943.16
Steel,2009,44796.03,8779.13,70571.21,21.36,4105,9.27,37505.5
Textile,2016,1698.2,7037.72,32697.06,33.74,4552,9.96,13702.37
Cement,2014,17755.82,6591.67,32665.2,59.77,4475,2.78,19767.39
Steel,2022,36229.12,7363.52,86287.75,15.35,2838,8.29,30894.05
Paper,2024,4464.43,3723.27,90381.17,42.3,1221,2.46,8212.99
Paper,2007,9566.89,4104.74,89265.75,45.48,1895,5.11,10903.13
Automobile,2014,29669.64,5581.68,81065.29,35.07,6609,1.9,24000.23
Chemical,2020,28219.69,9386.48,82084.17,5.85,6913,6.61,32321.92
Power,2013,37076.95,7267.6,57704.02,34.34,4411,5.22,30673.35
Textile,2019,40724.33,5554.79,3794.87,57.21,4008,6.66,27458.89
Automobile,2006,6864.69,7727.09,9590.55,20.52,1984,7.1,18415.91
Power,2020,1409.86,3771.81,65305.77,38.38,2632,6.57,6608.82
Power,2022,34637.11,7331.62,40715.35,57.56,4670,3.65,28975.86
Steel,2011,15418.89,4165.69,57163.65,47.88,3890,8.53,13164.22
Power,2016,31486.2,2868.65,23876.68,41.3,7395,5.97,18111.42
Chemical,2016,7951.96,6136.27,65292.3,58.27,3043,5.41,14098.18
Paper,2009,23717.48,6900.09,25040.12,10.23,7285,9.88,24258.26
Automobile,2018,25469.02,4647.01,46620.47,46.36,7454,3.55,19404.08
Power,2013,29461.35,5698.46,48393.27,24.41,2408,5.75,24127.82
Steel,2010,25901.92,6971.25,18589.15,21.63,4872,7.14,25270.61
Chemical,2001,25036.69,7700.33,87744.56,31.24,5677,2.13,26702.04
Cement,2017,16970.34,8966.16,53056.28,2.03,2335,4.19,26778.2
Paper,2006,4023.42,3609.99,86811.59,18.75,4637,8.22,8016.12
Paper,2011,4931.25,9519.62,26991.03,9.97,7489,3.13,22387.83
Automobile,2001,21972.02,6409.07,18061.26,8.32,4458,5.44,23001.76
Paper,2019,18111.76,7898.25,2783.65,20.24,5397,6.68,23915.24
Power,2017,26048.67,7027.71,10292.6,48.14,6883,7.04,24412.46
Steel,2005,15589.49,2135.16,15599.59,12.07,7650,7.55,10323.82
Paper,2023,34551.55,807.24,8806.7,31.88,7390,8.79,14994.13
Paper,2009,43265.76,7290.24,89791.05,44.92,7631,4.54,33166.52
Cement,2019,15293.73,5159.42,91232.39,14.46,4600,7.36,16771.3
Cement,2014,10052.71,7051.91,93798.9,55.45,7043,7.59,16909.12
Textile,2004,6250.94,4820.74,96026.22,51.99,6468,3.7,10894.95
Chemical,2019,31004.58,3191.12,49691.67,15.07,5886,9.71,19204.53
Power,2002,22470.87,2921.68,53472.44,59.38,6007,8.79,13109.59
Paper,2004,9806.78,7332.27,13952.21,40.15,2375,3.61,18504.84
Paper,2024,32830.27,2840.12,14568.15,17.17,7297,7.08,19485.49
Steel,2007,7849.92,7175.3,77502.89,40.86,2533,7.46,16788.52
Textile,2007,27937.88,3901.21,85717.18,39.97,2952,4.88,18970.31
Chemical,2007,26593.84,7731.89,78686.73,36.37,4257,8.77,26470.19
Textile,2011,36844.28,1513.82,83623.01,42.7,3991,7.21,17337.13
Automobile,2023,3227.93,2129.3,28380.46,16.1,5690,6.92,4662.63
Chemical,2022,44449.71,6890.52,47140.51,58.74,6686,2.99,32453.11
Paper,2007,35298.09,5646.29,46460.74,51.47,4496,4.67,25686.78
Paper,2010,11198.24,2118.4,99533.06,44.74,5157,4.91,7320.89
Chemical,2013,9578.56,9037.99,94968.62,1.58,4472,7.6,23218.73
Paper,2007,21867.18,2831.85,60250.12,35.42,3917,6.57,13865.1
Power,2023,40969.48,4268.61,14659.34,42.39,2165,1.77,25919.21
Chemical,2009,42226.02,2102.65,26601.01,51.25,5561,3.77,21125.14
Textile,2006,26262.58,3941.47,37012.39,56.77,6268,5.26,17587.4
Chemical,2016,43110.14,4967.3,87447.95,54.95,3358,7.63,27214.02
Paper,2003,769.46,3022.95,17892.61,24.36,4238,7.69,5099.55
Power,2012,2241.14,7714.03,22754.94,53.79,5911,5.41,15178.58
Power,2003,45635.17,3999.94,35589.08,0.04,3150,2.05,29088.09
Automobile,2004,38878.93,7322.15,92764.11,21.09,3075,3.64,32323.85
Textile,2021,22809.95,2150.01,50877.4,6.83,4667,3.29,14326.5
Cement,2003,37803.7,3832.65,65036.77,52.98,5603,8.03,22360.7
Cement,2017,47804.15,179.78,39335.11,55.68,3181,2.62,19365.78
Chemical,2005,38718.43,7610.51,19663.69,15.36,1058,5.18,32930.42
Automobile,2023,42197.38,6296.28,23057.25,22.04,7213,7.04,31114.24
Steel,2023,38150.03,8196.45,80464.45,59.03,2958,9.68,31676.9
Chemical,2022,8826.45,4610.55,89454.72,33.96,1184,9.99,11557.91
Automobile,2021,41761.92,8017.43,49814.49,29.82,3619,9.58,34088.81
Textile,2001,10157.89,6511.07,36342.46,30.03,6593,7.46,16799
Textile,2022,44684.26,135.77,80975.68,41.77,2680,7.72,17809.41
Textile,2010,23203.17,2611.57,67636.38,57.27,7311,7.83,12956.48
Textile,2013,34010.35,4989.52,5046.52,22,1577,8.76,24350.4
Textile,2004,25113.42,6225,35723.35,10.36,4954,9.57,23433.24
Automobile,2005,5152.55,749.35,68535.12,11.1,6243,5.01,2922.02
Automobile,2009,14890.75,7080.29,57794.3,1.22,6332,4.75,21658.68
Power,2007,49194.73,5481.01,97828.66,33.32,5277,5.14,32246.25
Cement,2013,48055.38,5305.22,86745.42,55.75,1070,6.94,30233.6
Paper,2023,16364.1,2991.25,6914.1,42.78,1555,7.98,11275.8
Textile,2002,49816.69,5988.75,72851.13,59.58,1851,8.83,32149.96
Steel,2011,42354.78,372.18,34296.33,54.57,2218,5.11,17082.45
Paper,2015,30742.5,740.53,68526.19,29.51,4640,4.27,13770.49
Automobile,2022,2486.17,7365.31,62105.23,29.19,6411,9.85,14972.86
Steel,2016,45121.62,3286.72,50801.98,37.7,6176,3.09,25656.71
Steel,2000,28092.75,3534.97,85442.01,6.66,2912,3,19792.27
Steel,2022,43489.57,2163.01,71160.3,36.46,3730,7.44,21977.73
Power,2009,41804.24,4511.64,89065.96,27.84,6419,2.62,27309.52
Automobile,2024,41733.81,614.73,28878.77,38.56,3365,4.59,18039.42
Steel,2022,35059.61,3073.6,35464.62,33.91,5924,3.63,20746.74
Textile,2009,14925.05,5318.53,62573.18,18.62,7237,2.52,17369.84
Chemical,2020,17139.93,4709.76,96679.98,36.47,1266,6.22,15869.24
Steel,2023,15769.23,9996.73,37786.63,21.96,4916,4.36,27687.36
Power,2001,1492.28,3948.77,4197.07,11.68,6495,5.16,8272.42
Paper,2008,29337.16,3931.29,45142.91,40.5,5709,2.76,19899.36
Automobile,2021,35092.27,5085.46,54849.03,18.38,7645,7.91,25295.13
Power,2012,42766.37,1984,80297.75,53.34,2400,3.83,21016.47
Steel,2024,7438.19,8775.41,73131.45,11.96,5673,4.08,21685.09
Automobile,2015,27437.07,5765.45,96501.61,36.01,4693,3.27,23197.87
Chemical,2017,896.4,2001.87,78485.59,34.29,5727,4.91,2846.69
Steel,2018,5207.14,7955.07,30564.22,11.86,3326,5.17,18749.57
Power,2011,3183.48,439.89,64496.65,26.39,3801,5.77,652.32
Cement,2007,36411.16,9827.39,67551.88,40.53,6552,9.71,35218.88
Textile,2016,4512.45,8664.98,99804.03,19.11,7385,9.14,19232.36
Paper,2014,35964.42,5838.43,14735.05,6.83,3034,6.48,27977.74
Power,2009,12856.42,1201.83,19941.22,36.91,6341,1.35,6791.02
Automobile,2014,43946.79,2231.2,16395.85,13.45,3830,6.51,23365.5
Steel,2014,40750.92,2866.41,59316.95,40.89,1984,1.81,22791.22
Textile,2022,47912.6,2486.21,14394.81,50.37,5099,7.39,24128.73
Steel,2006,44246.22,5025.45,65944.76,7.4,7463,4.51,30129.59
Automobile,2012,46699.81,9451.15,80573.63,26.26,6440,8.54,39732.24
Steel,2016,43007.75,4497.31,43846.5,26.7,6127,9.48,27041.97
Cement,2008,34822.4,6649.49,56507.82,37.95,2075,4.75,28210.96
Textile,2007,8927.83,6916.97,91359.49,20.06,2023,5.14,17815.66
Textile,2019,13949.52,8728.65,57387.03,25.11,6261,6.31,23718.71
Automobile,2020,11029.98,434.83,21651.95,0.72,4897,2.77,5558.92
Paper,2017,30377.5,4102.87,34976.19,7.35,5874,9.35,21280.19
Cement,2012,25429.19,7868.88,53454.73,34.19,7970,4.9,26799.07
Power,2015,43420.46,8167.18,16334.87,12.95,1279,2.5,36689
Steel,2008,47657.31,9280.59,61639.46,8.67,2111,7.86,40573.09
Chemical,2011,20540.56,7057.66,99925.36,19.46,2183,2.97,23635.3
Steel,2011,25564.35,2527.02,65600.96,9.81,6080,2.29,16396.2
Steel,2005,48590.06,5106.09,37868.7,3.58,3075,6.07,32227.33
Power,2018,14173.83,420.22,33842.9,17.03,4599,7.04,5776.71
Steel,2006,39723.34,6504.59,93228.73,9.86,5905,6.13,31055.6
Cement,2024,11649.38,5587.52,87279.91,47.96,4942,6.91,14787.16
Cement,2002,34232.28,6701.68,47763.5,3.76,1271,2.04,29753.02
Textile,2015,13053.97,9308.39,35988.04,44.85,2123,5.28,23925.14
Automobile,2017,44244.8,6904.04,71335.96,22.97,4979,4.21,33675.05
Paper,2015,28293.16,3272.45,32135.75,40.52,2227,9.76,17139.31
Chemical,2022,9703.72,2067.49,12820.92,3.16,1189,1.45,8614.75
Steel,2006,11606.27,8560.9,31705.07,55.24,1545,3.68,21405.6
Steel,2003,24945.54,2023.89,43995.3,46.04,3341,9.48,12698.85
Power,2024,48099.3,1699.93,26285.73,8.41,4966,9.85,23866.13
Automobile,2007,38597.29,2145.46,22464.56,13.13,7099,8.42,20553.19
Cement,2012,24671.33,5137.52,1607.88,38.64,5014,1.68,20657.44
Chemical,2012,17217.1,1329.46,63453.44,55.29,5943,6.05,7734.91
Textile,2016,27688.79,9387.37,61830.45,26.75,6463,4.6,31490.17
Cement,2016,37543.86,9665.91,19614.5,29.14,5866,8.26,36002.94
Automobile,2004,39304.47,9740.64,94421.36,14.27,1768,1.5,38365.62
Paper,2005,16568.14,487.34,41547.52,22.98,7196,2.77,7276.21
Textile,2018,36197.38,9467.36,3522.46,17.16,4775,5.4,35782.61
Paper,2012,33060.54,9974.41,22757.42,21.03,3731,2.42,35689.34
Power,2024,47976.06,9430.05,69514.68,1.24,6166,7.23,41418.14
Power,2013,46588.97,6742.3,20960.37,2.46,2010,8.39,34692.9
Steel,2021,39574.28,7042.18,6337.33,40.84,5798,7.34,30786.82
Paper,2003,36308.04,1310.3,62152.92,40.91,1464,4.96,16989.68
Automobile,2006,14065.06,8755.54,52317.12,19.81,3600,8.91,23729.86
Chemical,2007,42375.28,690.43,76365.32,53.13,1916,2.24,18193.82
Textile,2024,21661.53,3245.53,77490.51,15.97,2452,3.34,15848.25
Cement,2012,13975.91,9912.4,96033.59,23.75,7126,5.41,26497.24
Automobile,2005,19515.96,4281.05,6644.74,43.88,4468,1.55,16259.29
Automobile,2005,41878.81,1398.45,4859.95,44.61,5289,1.86,19914.45
Power,2023,7857.34,9696.02,98732.51,51.67,1065,4.58,22250.65
Paper,2020,23079.86,9842.98,64839.94,1.74,3602,9.49,30832.09
Steel,2002,24871.7,1951.72,71821.68,11.03,2725,9.18,13943.25
Steel,2002,2313.17,8661.56,10551.72,38.43,5696,5.19,17936.36
Textile,2012,10189.43,3965.19,7911.46,20.29,2499,2.28,12223.46
Power,2021,41423.75,3875.55,16865.11,2.61,6807,2.6,26750.5
Automobile,2001,41622.99,2700.71,43292.36,35.19,2904,4.4,22736.31
Chemical,2015,14974.55,542.63,11907.44,23.58,5571,2.89,6642.33
Power,2021,43807.41,2753.29,45187.04,21.85,7716,1.75,24686.57
Textile,2005,38703.26,632.39,56592.05,15.86,4964,7.06,17326.12
Textile,2007,21186.42,9251.28,1032.96,0.36,3809,6.23,29124.7
Power,2022,37546.11,6651.03,12310.32,10.94,5090,3.62,30656.02
Textile,2007,48086.06,8877.56,38144.32,28.45,1886,8.01,39070.16
Power,2024,23219,7201.18,6279.65,16.54,7973,7.98,24671.95
Cement,2005,12302.15,1399.74,14219.37,52.46,4808,5.42,5866.6
Power,2013,47119.92,9411.76,23947.84,8.58,5177,1.87,41342.24
Paper,2002,30385.34,9008.94,43530.54,52.52,2960,9.27,30279.87
Power,2009,5710.63,3545.95,71768.88,24.29,3747,7.02,8556.87
Textile,2002,28847.8,1204.18,14136.17,16.55,1043,3.22,14582.31
Paper,2011,25278.75,7071.13,74057.9,18.26,7967,6.49,25422.72
Textile,2016,42851.65,7310.78,85651.01,19.8,6597,4.65,34016.96
Steel,2004,26769.41,8978.61,65496.4,30.39,4842,6.72,29777.18
Steel,2019,13134.01,621.29,5328.84,21.23,5705,5.26,5796.74
Paper,2024,33944.38,1502.87,44624.72,38.83,2888,5.37,16383.68
Cement,2008,27357.48,6022.66,66346.53,25.51,4898,7.62,23625.92
Steel,2020,12035.71,6229.4,97872.8,40.3,6448,6.52,16726.35
Power,2019,28894.58,432.74,95229.03,36.27,6533,1.72,12297.39
Textile,2006,41166.01,4029.63,40174.61,14.67,4892,1.59,26612.29
Steel,2021,1914.26,5883.2,61977.18,48.77,6883,3.75,11403.66
Steel,2003,31727.13,7405.32,89190.7,47.94,1719,4.87,28066.91
Cement,2012,17804.47,3229.89,83273.58,59.34,1690,3.48,12326.57
Paper,2012,14987.24,4890.64,48462.76,10.5,2945,6.86,16260.47
Paper,2009,19933.09,8159.14,26862.89,50.87,7842,2.76,24554
Automobile,2017,17430.12,9543.56,14572.89,52.32,7980,7.34,25865.79
Cement,2016,41695.84,2380.12,49310.04,38.53,1109,7.96,21502.99
Power,2019,14102.49,2605.12,72561.74,30.38,5314,2.12,10607.78
Paper,2019,36791.07,9404.2,97007.2,57.44,5558,6.86,34124.42
Textile,2012,5155.96,4019.52,86319.68,58.36,1514,9.65,7670.73
Cement,2016,47594.12,7211.65,21219.85,38.5,1636,2.74,35414.18
Steel,2021,31304.67,6161.43,72258.03,21.57,4328,9.18,25677.85
Textile,2003,35482.57,2927.32,29621.02,49.03,6312,6.45,19672.06
Textile,2000,15252.95,6570.27,68663.79,5.36,1626,6.32,20345.62
Steel,2000,20898.78,6590.1,66914.74,17.44,1069,1.47,23028.67
Cement,2014,11577.03,5965.19,27970.63,59.13,3506,7.73,15040.28
Steel,2012,46660.54,1086.64,24204.47,48.86,4889,5.3,20797.45
Automobile,2016,24661.17,9952.2,11289.84,56.37,6613,7.49,29838.77
Textile,2023,31707.18,4064.12,6003.42,35.69,7240,8.28,20788.1
Chemical,2007,36846.47,6418.68,85986.65,24.46,4799,5.71,29038.41
Chemical,2017,18869.75,8869.04,5935.09,58.78,2850,3.37,25247.68
Power,2012,36145.03,4290.56,9785.38,18.57,5319,2.27,24689.3
Paper,2022,33961.63,7761.86,24646.35,45.44,6961,2.44,30248.43
Steel,2013,35430.14,9721.06,88878.17,33.49,3878,8.8,34934.3
Steel,2007,24716.88,3653.45,33961.1,13.71,4352,2.11,18358.59
Power,2007,19455.4,4112.17,19988.16,1.05,4977,4.46,17224.5
Power,2014,11493.07,9065.2,71839.99,23.03,7784,4.01,23712.92
Power,2012,41319,1680.46,32587.91,32.86,2634,8.79,19921.36
Textile,2006,30613.33,383.09,34003.3,10.99,6901,5.3,13543.2
Automobile,2004,22495.43,9098,74158.68,24.87,4476,9.97,27947.34
Steel,2016,47227.8,8233.76,25913.63,36.91,3543,7.63,36974.78
Textile,2024,2868.02,9728.57,89779.24,42.9,6875,8.66,19938.26
Power,2015,42583.51,676.55,56580.75,3.16,6157,1.89,20297.79
Steel,2022,49880.34,1646.16,54245.34,39.85,1768,3.28,24080.1
Textile,2001,44403.63,1142.59,27210.47,3.4,6971,2.22,22092.93
Automobile,2021,40616.61,6865.82,83674.34,1.69,7903,5.17,32694.28
Textile,2017,19028.15,6099.5,57702.21,9.14,6764,7.46,20720.77
Automobile,2016,11950.05,3657.42,16396.14,39.22,7631,2.52,11552.65
Power,2006,36875.1,668.49,21423.53,3.17,3603,2.17,17677.27
Automobile,2012,15576.48,6432.65,47357.33,1.25,1991,6.53,20327.65
Steel,2017,9213.96,5744.19,78184.54,7.08,2728,3.07,16131.9
Power,2013,39433.03,1217.74,93990.23,56.98,3028,5.31,17507.49
Steel,2017,15970.91,9098.21,66686.36,54.44,2529,1.46,24850.17
Chemical,2012,45764.87,2069.6,51108.18,5.19,1488,7.13,24084.11
Cement,2010,42111.32,7460.74,25822.47,18.24,5152,5.87,33929.72
Automobile,2020,42458.2,8862.25,67613.93,56.84,1511,6.83,35509.94
Cement,2020,38692.7,5836.8,98241.74,5.86,4319,3.48,29600.68
Cement,2015,44103.63,2543.8,48146.03,5.68,3151,3.51,24794.59
Automobile,2022,40384.47,3161.56,17052.05,5.16,3604,8.21,23936.84
